,etext,author,book,url
28,1004,dante alighieri,divine comedy longfellows translation complete,raw/1004/pg1004.txt.utf8
29,1003,dante alighieri,divine comedy longfellows translation paradise,raw/1003/pg1003.txt.utf8
30,8783,alighieri dante alighieri,the divine comedy by dante illustrated hell volume 05,raw/8783/pg8783.txt.utf8
31,8788,alighieri dante alighieri,the divine comedy by dante illustrated hell volume 10,raw/8788/pg8788.txt.utf8
32,8793,alighieri dante alighieri,the divine comedy by dante illustrated purgatory volume 4,raw/8793/pg8793.txt.utf8
33,8789,alighieri dante alighieri,the vision of hell   by dante alighieri  translated by rev henry francis cary ma  and illustrated with the seventyfive designs of gustave dor,raw/8789/pg8789.txt.utf8
34,43089,geoffrey chaucer,chaucers works volume 1 of 7  romaunt of the rose minor poems,raw/43089/pg43089.txt.utf8
35,45027,geoffrey chaucer,chaucers works volume 3 of 7  the house of fame the legend of good women the treatise  on the astrolabe the sources of the canterbury tales,raw/45027/pg45027.txt.utf8
36,33022,giovanni villani,villanis chronicle  being selections from the first nine books of the croniche fiorentine of giovanni villani,raw/33022/pg33022.txt.utf8
37,25856,richard rolle,the form of perfect living and other prose treatises,raw/25856/pg25856.txt.utf8
38,10006,giovanni boccacci,la fiammetta,raw/10006/pg10006.txt.utf8
39,44833,geoffrey chaucer,chaucers works volume 2 of 7  boethius and troilus,raw/44833/pg44833.txt.utf8
40,31900,thomas malory,historic tales the romance of reality vol 13 of 15 king arthur 1,raw/31900/pg31900.txt.utf8
41,266,john gower,confessio amantis or tales of the seven deadly sins,raw/266/pg266.txt.utf8
42,4998,vinci leonardo da vinci,the notebooks of leonardo da vinci  volume 1,raw/4998/pg4998.txt.utf8
43,29904,vinci leonardo da vinci,thoughts on art and life,raw/29904/pg29904.txt.utf8
44,20179,sebastian brant,the ship of fools volume 1,raw/20179/pg20179.txt.utf8
45,14031,desiderius erasmus,the colloquies of erasmus volume i,raw/14031/pg14031.txt.utf8
46,8400,desiderius erasmus,selections from erasmus principally from his epistles,raw/8400/pg8400.txt.utf8
47,9371,desiderius erasmus,the praise of folly,raw/9371/pg9371.txt.utf8
48,39487,rotterdam erasmus,against war,raw/39487/pg39487.txt.utf8
49,2464,niccol machiavelli,history of florence and of the affairs of italy  from the earliest times to the death of lorenzo the magnificent,raw/2464/pg2464.txt.utf8
50,1251,thomas malory,le morte darthur volume 1,raw/1251/pg1251.txt.utf8
51,22053,thomas malory,stories of king arthur and his knights  retold from malorys morte darthur,raw/22053/pg22053.txt.utf8
52,16759,thomas a kempis,the chronicle of the canons regular of mount st agnes,raw/16759/pg16759.txt.utf8
53,3226,albrecht durer,records of journeys to venice and the low countries,raw/3226/pg3226.txt.utf8
54,37103,albrecht durer,of the just shaping of letters,raw/37103/pg37103.txt.utf8
55,615,lodovico ariost,orlando furioso,raw/615/pg615.txt.utf8
56,1670,martin luther,luthers little instruction book the small catechism of martin luther,raw/1670/pg1670.txt.utf8
57,1722,martin luther,martin luthers large catechism translated by bente and dau,raw/1722/pg1722.txt.utf8
58,417,martin luther,dr martin luthers deutsche geistliche lieder  the hymns of martin luther set to their original melodies with an english version,raw/417/pg417.txt.utf8
59,28464,martin luther,epistle sermons vol ii  epiphany easter and pentecost,raw/28464/pg28464.txt.utf8
60,28858,queen marguerite,the heptameron of margaret queen of navarre  a linked index to the project gutenberg edition,raw/28858/pg28858.txt.utf8
61,17703,queen of navarre margaret,the tales of the heptameron vol iii of v,raw/17703/pg17703.txt.utf8
62,17701,queen marguerite,the tales of the heptameron vol i of v,raw/17701/pg17701.txt.utf8
63,275,philipp melanchthon,the augsburg confession  the confession of faith which was submitted to his imperial majesty charles v at the diet of augsburg in the year 1530,raw/275/pg275.txt.utf8
64,6744,philipp schwarzerd,the apology of the augsburg confession,raw/6744/pg6744.txt.utf8
65,4028,benvenuto cellini,the autobiography of benvenuto cellini,raw/4028/pg4028.txt.utf8
66,26860,giorgio vasari,lives of the most eminent painters sculptors and architects vol 03 of 10  filarete and simone to mantegna,raw/26860/pg26860.txt.utf8
67,33203,giorgio vasari,lives of the most eminent painters sculptors and architects vol 10 of 10  bronzino to vasari  general index,raw/33203/pg33203.txt.utf8
68,25759,giorgio vasari,lives of the most eminent painters sculptors and architects vol 02 of 10  berna to michelozzo michelozzi,raw/25759/pg25759.txt.utf8
69,22400,john foxe,foxs book of martyrs  or a history of the lives sufferings and triumphant  deaths of the primitive protestant martyrs,raw/22400/pg22400.txt.utf8
70,6519,kabir,songs of kabir,raw/6519/pg6519.txt.utf8
71,15772,niccolo machiavelli,machiavelli volume i,raw/15772/pg15772.txt.utf8
72,7551,michel eyquem de montaigne,quotes and images from the works of michel de montaigne,raw/7551/pg7551.txt.utf8
73,3593,michel eyquem de montaigne,essays of michel de montaigne  volume 13,raw/3593/pg3593.txt.utf8
74,3582,michel de montaigne,essays of michel de montaigne  volume 02,raw/3582/pg3582.txt.utf8
75,3591,michel de montaigne,essays of michel de montaigne  volume 11,raw/3591/pg3591.txt.utf8
76,3587,michel de montaigne,essays of michel de montaigne  volume 07,raw/3587/pg3587.txt.utf8
77,3588,michel eyquem de montaigne,essays of michel de montaigne  volume 08,raw/3588/pg3588.txt.utf8
78,14282,rotterdam erasmus,a merry dialogue declaringe the properties of shrowde shrews and honest wives,raw/14282/pg14282.txt.utf8
79,30201,desiderius erasmus,in praise of folly  illustrated with many curious cuts,raw/30201/pg30201.txt.utf8
80,29678,martin luther,the epistles of st peter and st jude preached and explained,raw/29678/pg29678.txt.utf8
81,273,martin luther,the smalcald articles,raw/273/pg273.txt.utf8
82,274,martin luther,disputation of doctor martin luther on the power and efficacy of indulgences,raw/274/pg274.txt.utf8
83,9912,martin luther,an explanation of luthers small catechism,raw/9912/pg9912.txt.utf8
84,5908,michel cervantes,the history of don quixote volume 1 part 06,raw/5908/pg5908.txt.utf8
85,5913,miguel de cervantes saavedra,the history of don quixote volume 1 part 11,raw/5913/pg5913.txt.utf8
86,5912,miguel de cervantes saavedra,the history of don quixote volume 1 part 10,raw/5912/pg5912.txt.utf8
87,17704,queen marguerite,the tales of the heptameron vol iv of v,raw/17704/pg17704.txt.utf8
88,35161,edmund spenser,tales from spenser chosen from the faerie queene,raw/35161/pg35161.txt.utf8
89,10602,edmund spenser,the poetical works of edmund spenser volume 5,raw/10602/pg10602.txt.utf8
90,7566,marguerite de valois,quotes and images from memoirs of marguerite de valois,raw/7566/pg7566.txt.utf8
91,12967,marguerite de valois,memoirs and historical chronicles of the courts of europe  memoirs of marguerite de valois queen of france wife of henri iv of madame de pompadour of the court of louis xv and of catherine de medici queen of france wife of henri ii,raw/12967/pg12967.txt.utf8
92,1962,philip sidney,a defence of poesie and poems,raw/1962/pg1962.txt.utf8
93,38015,georgius agricola,de re metallica translated from the first latin edition of 1556,raw/38015/pg38015.txt.utf8
94,5500,francis bacon st albans,the advancement of learning,raw/5500/pg5500.txt.utf8
95,5137,shakespeare spurious and doubtful works,fair em,raw/5137/pg5137.txt.utf8
96,2241,william shakespeare,loves labours lost,raw/2241/pg2241.txt.utf8
97,1537,william shakespeare,pericles prince of tyre,raw/1537/pg1537.txt.utf8
98,1504,william shakespeare,the comedy of errors,raw/1504/pg1504.txt.utf8
99,1502,william shakespeare,the history of king henry the sixth third part,raw/1502/pg1502.txt.utf8
100,2251,william shakespeare,henry iv part 1,raw/2251/pg2251.txt.utf8
101,2264,william shakespeare,macbeth,raw/2264/pg2264.txt.utf8
102,2250,william shakespeare,richard ii,raw/2250/pg2250.txt.utf8
103,2266,william shakespeare,king lear,raw/2266/pg2266.txt.utf8
104,1508,william shakespeare,the taming of the shrew,raw/1508/pg1508.txt.utf8
105,1496,christopher marlowe,massacre at paris,raw/1496/pg1496.txt.utf8
106,20288,christopher marlowe,edward the second,raw/20288/pg20288.txt.utf8
107,42724,christopher marlowe,the works of christopher marlowe vol 2 of 3,raw/42724/pg42724.txt.utf8
108,1530,william shakespeare,measure for measure,raw/1530/pg1530.txt.utf8
109,2243,william shakespeare,the merchant of venice,raw/2243/pg2243.txt.utf8
110,1545,william shakespeare,the passionate pilgrim,raw/1545/pg1545.txt.utf8
111,2245,william shakespeare,the taming of the shrew,raw/2245/pg2245.txt.utf8
112,2254,william shakespeare,henry vi part 1,raw/2254/pg2254.txt.utf8
113,1506,william shakespeare,the rape of lucrece,raw/1506/pg1506.txt.utf8
114,1539,william shakespeare,the winters tale,raw/1539/pg1539.txt.utf8
115,1520,william shakespeare,much ado about nothing,raw/1520/pg1520.txt.utf8
116,2261,william shakespeare,romeo and juliet,raw/2261/pg2261.txt.utf8
117,2239,william shakespeare,the comedy of errors,raw/2239/pg2239.txt.utf8
118,2244,william shakespeare,as you like it,raw/2244/pg2244.txt.utf8
119,1527,william shakespeare,twelfth night or what you will,raw/1527/pg1527.txt.utf8
120,9077,william shakespeare,the tragicall historie of hamlet prince of denmarke  the first bad quarto,raw/9077/pg9077.txt.utf8
121,1528,william shakespeare,the history of troilus and cressida,raw/1528/pg1528.txt.utf8
122,17779,thomas nash,the choise of valentines  or the merie ballad of nash his dildo,raw/17779/pg17779.txt.utf8
123,10314,tommaso campanella,the sonnets of michael angelo buonarroti and tommaso campanella now for the first time translated into rhymed english,raw/10314/pg10314.txt.utf8
124,8189,samuel rowlands,the bride,raw/8189/pg8189.txt.utf8
125,37387,john donne,letters to severall persons of honour,raw/37387/pg37387.txt.utf8
126,9660,john knox,the first blast of the trumpet against the monstrous regiment of women,raw/9660/pg9660.txt.utf8
127,21938,john knox,the works of john knox  vol 1 of 6,raw/21938/pg21938.txt.utf8
128,6825,samuel de champlain,voyages of samuel de champlain  volume 03,raw/6825/pg6825.txt.utf8
129,25326,giorgio vasari,lives of the most eminent painters sculptors and architects vol 01 of 10  cimabue to agnolo gaddi,raw/25326/pg25326.txt.utf8
130,32362,giorgio vasari,lives of the most eminent painters sculptors and architects vol 09 of 10  michelagnolo to the flemings,raw/32362/pg32362.txt.utf8
131,21212,giorgio vasari,the lives of the painters sculptors  architects volume 1 of 8,raw/21212/pg21212.txt.utf8
132,33742,jacob boehme,dialogues on the supersensual life,raw/33742/pg33742.txt.utf8
133,35303,john fletcher,beaumont and fletchers works vol 8,raw/35303/pg35303.txt.utf8
134,12098,philip massinger,the elder brother  the works of francis beaumont and john fletcher volume 2 of 10,raw/12098/pg12098.txt.utf8
135,19589,walter bigges,a svmmarie and trve discovrse of sir frances drakes vvest indian voyage  wherein were taken the townes of saint iago sancto  domingo cartagena  saint augustine,raw/19589/pg19589.txt.utf8
136,22790,robert may,the accomplisht cook  or the art  mystery of cookery,raw/22790/pg22790.txt.utf8
137,24950,william bradford,bradfords history of plimoth plantation  from the original manuscript with a report of the proceedings incident to the return of the manuscript to massachusetts,raw/24950/pg24950.txt.utf8
138,3596,michel de montaigne,essays of michel de montaigne  volume 16,raw/3596/pg3596.txt.utf8
139,3589,michel eyquem de montaigne,essays of michel de montaigne  volume 09,raw/3589/pg3589.txt.utf8
140,3595,michel eyquem de montaigne,essays of michel de montaigne  volume 15,raw/3595/pg3595.txt.utf8
141,3581,michel eyquem de montaigne,essays of michel de montaigne  volume 01,raw/3581/pg3581.txt.utf8
142,13139,isaak walton,lives of john donne henry wotton richd hooker george herbert c volume 2,raw/13139/pg13139.txt.utf8
143,779,christopher marlowe,the tragical history of doctor faustus  from the quarto of 1604,raw/779/pg779.txt.utf8
144,392,torquato tas,jerusalem delivered,raw/392/pg392.txt.utf8
145,4391,rene descartes,selections from the principles of philosophy,raw/4391/pg4391.txt.utf8
146,6363,pedro caldern de la barca,life is a dream,raw/6363/pg6363.txt.utf8
147,16441,kenelm digby,the closet of sir kenelm digby knight opened,raw/16441/pg16441.txt.utf8
148,586,thomas browne,religio medici hydriotaphia and the letter to a friend,raw/586/pg586.txt.utf8
149,2543,pierre corneille,polyeucte,raw/2543/pg2543.txt.utf8
150,26,john milton,paradise lost,raw/26/pg26.txt.utf8
151,397,john milton,lallegro il penseroso comus and lycidas,raw/397/pg397.txt.utf8
152,31706,john milton,milton minor poems,raw/31706/pg31706.txt.utf8
153,6929,john milton,poemata  latin greek and italian poems by john milton,raw/6929/pg6929.txt.utf8
154,1745,john milton,the poetical works of john milton,raw/1745/pg1745.txt.utf8
155,3843,jean franois paul de gondi de retz,memoirs of jean franois paul de gondi cardinal de retz  volume 2,raw/3843/pg3843.txt.utf8
156,9105,franois duc de la rochefoucauld,reflections or sentences and moral maxims,raw/9105/pg9105.txt.utf8
157,3839,queen marguerite,memoirs of marguerite de valois queen of navarre  volume 2,raw/3839/pg3839.txt.utf8
158,4774,shakespeare spurious and doubtful works,the merry devill of edmonton,raw/4774/pg4774.txt.utf8
159,1536,william shakespeare,the life of timon of athens,raw/1536/pg1536.txt.utf8
160,1533,william shakespeare,macbeth,raw/1533/pg1533.txt.utf8
161,1541,william shakespeare,the life of henry the eighth,raw/1541/pg1541.txt.utf8
162,1512,william shakespeare,the tragedy of king richard the second,raw/1512/pg1512.txt.utf8
163,2267,william shakespeare,othello,raw/2267/pg2267.txt.utf8
164,12222,francis beaumont,the faithful shepherdess  the works of francis beaumont and john fletcher volume 2 of 10,raw/12222/pg12222.txt.utf8
165,5940,miguel de cervantes saavedra,the history of don quixote volume 2 part 37,raw/5940/pg5940.txt.utf8
166,5945,miguel de cervantes,the history of don quixote volume 2 part 42,raw/5945/pg5945.txt.utf8
167,5938,miguel de cervantes saavedra,the history of don quixote volume 2 part 35,raw/5938/pg5938.txt.utf8
168,7466,richard hakluyt,the principal navigations voyages traffiques and discoveries of the english nation  volume 02,raw/7466/pg7466.txt.utf8
169,13605,richard hakluyt,the principal navigations voyages traffiques and discoveries of the english nation vol xii america part i,raw/13605/pg13605.txt.utf8
170,3752,richard hakluyt,voyagers tales,raw/3752/pg3752.txt.utf8
171,7476,richard hakluyt,the principal navigations voyages traffiques and discoveries of the english nation  volume 03,raw/7476/pg7476.txt.utf8
172,7769,richard hakluyt,the principal navigations voyages traffiques and discoveries of the english nation  volume 04,raw/7769/pg7769.txt.utf8
173,8107,richard hakluyt,the principal navigations voyages traffiques and discoveries of the english nation  volume 06  madiera the canaries ancient asia africa etc,raw/8107/pg8107.txt.utf8
174,5927,miguel de cervantes saavedra,the history of don quixote volume 2 part 24,raw/5927/pg5927.txt.utf8
175,5917,miguel de cervantes saavedra,the history of don quixote volume 1 part 15,raw/5917/pg5917.txt.utf8
176,1523,william shakespeare,as you like it,raw/1523/pg1523.txt.utf8
177,1543,william shakespeare,a lovers complaint,raw/1543/pg1543.txt.utf8
178,1535,william shakespeare,the tragedy of coriolanus,raw/1535/pg1535.txt.utf8
179,2265,william shakespeare,hamlet,raw/2265/pg2265.txt.utf8
180,2236,william shakespeare,the two gentlemen of verona,raw/2236/pg2236.txt.utf8
181,2260,william shakespeare,titus andronicus,raw/2260/pg2260.txt.utf8
182,2246,william shakespeare,alls well that ends well,raw/2246/pg2246.txt.utf8
183,2257,william shakespeare,richard iii,raw/2257/pg2257.txt.utf8
184,1505,william shakespeare,the rape of lucrece,raw/1505/pg1505.txt.utf8
185,2255,william shakespeare,henry vi part 2,raw/2255/pg2255.txt.utf8
186,1515,william shakespeare,the merchant of venice,raw/1515/pg1515.txt.utf8
187,2263,william shakespeare,julius caesar,raw/2263/pg2263.txt.utf8
188,1531,william shakespeare,othello the moor of venice,raw/1531/pg1531.txt.utf8
189,1534,william shakespeare,antony and cleopatra,raw/1534/pg1534.txt.utf8
190,1509,william shakespeare,the two gentlemen of verona,raw/1509/pg1509.txt.utf8
191,18842,samuel daniel,elizabethan sonnetcycles delia  diana,raw/18842/pg18842.txt.utf8
192,9878,richard carew,the survey of cornwall  and an epistle concerning the excellencies of the english tongue,raw/9878/pg9878.txt.utf8
193,17209,alexander roberts,a treatise of witchcraft,raw/17209/pg17209.txt.utf8
194,5300,jean de la fontaine,tales and novels of j de la fontaine  complete,raw/5300/pg5300.txt.utf8
195,25357,jean de la fontaine,a hundred fables of la fontaine,raw/25357/pg25357.txt.utf8
196,5292,jean de la fontaine,tales and novels of j de la fontaine  volume 18,raw/5292/pg5292.txt.utf8
197,4247,thomas harriot,a briefe and true report of the new found land of virginia,raw/4247/pg4247.txt.utf8
198,5285,jean de la fontaine,tales and novels of j de la fontaine  volume 11,raw/5285/pg5285.txt.utf8
199,5286,jean de la fontaine,tales and novels of j de la fontaine  volume 12,raw/5286/pg5286.txt.utf8
200,28375,henry vaughan,poems of henry vaughan silurist volume ii,raw/28375/pg28375.txt.utf8
201,6923,jean baptiste poquelin de molire,the miser,raw/6923/pg6923.txt.utf8
202,7279,molire moliere,the shopkeeper turned gentleman,raw/7279/pg7279.txt.utf8
203,27074,molire moliere,the jealousy of le barbouill  la jalousie du barbouill,raw/27074/pg27074.txt.utf8
204,8776,jean baptiste poquelin de molire,the impostures of scapin,raw/8776/pg8776.txt.utf8
205,9070,jean baptiste poquelin de molire,the imaginary invalid,raw/9070/pg9070.txt.utf8
206,6064,anne harrison fanshawe,memoirs of lady fanshawe  wife of sir richard fanshawe bt ambassador from charles ii to the courts of portugal and madrid,raw/6064/pg6064.txt.utf8
207,12040,john fletcher,beaumont  fletchers works 2 of 10  the humourous lieutenant,raw/12040/pg12040.txt.utf8
208,12110,john fletcher,the scornful lady,raw/12110/pg12110.txt.utf8
209,17422,john dowland,fine knacks for ladies,raw/17422/pg17422.txt.utf8
210,3290,francis bacon st albans,valerius terminus of the interpretation of nature,raw/3290/pg3290.txt.utf8
211,14504,r robert boyle,experiments and considerations touching colours 1664,raw/14504/pg14504.txt.utf8
212,22914,r robert boyle,the sceptical chymist  or chymicophysical doubts  paradoxes touching the spagyrists principles commonly calld hypostatical as they are wont to be proposd and defended by the generality of alchymists whereunto is prmisd part of another discourse relating to the same subject,raw/22914/pg22914.txt.utf8
213,131,john bunyan,the pilgrims progress from this world to that which is to come  delivered under the similitude of a dream by john bunyan,raw/131/pg131.txt.utf8
214,5831,john bunyan,the riches of bunyan selected from his works,raw/5831/pg5831.txt.utf8
215,43457,charles perrault,the popular story of blue beard,raw/43457/pg43457.txt.utf8
216,3614,john bunyan,an exhortation to peace and unity,raw/3614/pg3614.txt.utf8
217,14725,christiaan huygens,treatise on light  in which are explained the causes of that which occurs in reflexion  in refraction and particularly in the strange refraction of iceland crystal,raw/14725/pg14725.txt.utf8
218,10274,isaac barrow,sermons on evilspeaking,raw/10274/pg10274.txt.utf8
219,43451,bartolom leonardo de argensola,the discovery and conquest of the molucco and philippine islands  containing their history ancient and modern natural and  political their description product religion government  laws languages customs manners habits shape and  inclinations of the natives with an account of many other  adjacent islands and several remarkable voyages through  the streights of magellan and in other parts,raw/43451/pg43451.txt.utf8
220,23772,john donne,devotions upon emergent occasions  together with deaths duel,raw/23772/pg23772.txt.utf8
221,2615,john dryden,discourses on satire and on epic poetry,raw/2615/pg2615.txt.utf8
222,37645,john dryden,drydens works vol 3 of 18  sir martin marall the tempest an evenings love tyrannic love,raw/37645/pg37645.txt.utf8
223,2062,john dryden,all for love or the world well lost a tragedy,raw/2062/pg2062.txt.utf8
224,11488,john dryden,the poetical works of john dryden volume 1  with life critical dissertation and explanatory notes,raw/11488/pg11488.txt.utf8
225,11578,john dryden,the poetical works of john dryden volume 2  with life critical dissertation and explanatory notes,raw/11578/pg11578.txt.utf8
226,16402,john dryden,the works of john dryden  now first collected in eighteen volumes  volume 07,raw/16402/pg16402.txt.utf8
227,7490,john dryden,drydens palamon and arcite,raw/7490/pg7490.txt.utf8
228,10615,john locke,an essay concerning humane understanding volume 1  mdcxc based on the 2nd edition books 1 and 2,raw/10615/pg10615.txt.utf8
229,989,baruch de espinosa,theologicopolitical treatise  part 1,raw/989/pg989.txt.utf8
230,4131,samuel pepys,diary of samuel pepys  complete 1661 ns,raw/4131/pg4131.txt.utf8
231,4162,samuel pepys,diary of samuel pepys  complete 1665 ns,raw/4162/pg4162.txt.utf8
232,4120,samuel pepys,diary of samuel pepys  volume 04 marchapril 16591660,raw/4120/pg4120.txt.utf8
233,4130,samuel pepys,diary of samuel pepys  volume 13 novemberdecember 1661,raw/4130/pg4130.txt.utf8
234,4136,samuel pepys,diary of samuel pepys  volume 18 septemberoctober 1662,raw/4136/pg4136.txt.utf8
235,4144,samuel pepys,diary of samuel pepys  volume 25 novemberdecember 1663,raw/4144/pg4144.txt.utf8
236,4147,samuel pepys,diary of samuel pepys  volume 27 march 166364,raw/4147/pg4147.txt.utf8
237,4148,samuel pepys,diary of samuel pepys  volume 28 aprilmay 1664,raw/4148/pg4148.txt.utf8
238,4155,samuel pepys,diary of samuel pepys  volume 34 marchapril 166465,raw/4155/pg4155.txt.utf8
239,4161,samuel pepys,diary of samuel pepys  volume 40 novemberdecember 1665,raw/4161/pg4161.txt.utf8
240,4172,samuel pepys,diary of samuel pepys  volume 49 january 166667,raw/4172/pg4172.txt.utf8
241,4174,samuel pepys,diary of samuel pepys  volume 51 march 166667,raw/4174/pg4174.txt.utf8
242,4182,samuel pepys,diary of samuel pepys  volume 59 november 1667,raw/4182/pg4182.txt.utf8
243,4187,samuel pepys,diary of samuel pepys  volume 63 march 166768,raw/4187/pg4187.txt.utf8
244,15102,r richard haines,proposals for building in every county a workingalmshouse or hospital  as the best expedient to perfect the trade and manufactory of linnen  cloth,raw/15102/pg15102.txt.utf8
245,4199,samuel pepys,diary of samuel pepys  complete 1669 ns,raw/4199/pg4199.txt.utf8
246,4149,samuel pepys,diary of samuel pepys  volume 29 junejuly 1664,raw/4149/pg4149.txt.utf8
247,4150,samuel pepys,diary of samuel pepys  volume 30 augustseptember 1664,raw/4150/pg4150.txt.utf8
248,4151,samuel pepys,diary of samuel pepys  volume 31 octobernovember 1664,raw/4151/pg4151.txt.utf8
249,4154,samuel pepys,diary of samuel pepys  volume 33 januaryfebruary 166465,raw/4154/pg4154.txt.utf8
250,4156,samuel pepys,diary of samuel pepys  volume 35 mayjune 1665,raw/4156/pg4156.txt.utf8
251,4157,samuel pepys,diary of samuel pepys  volume 36 july 1665,raw/4157/pg4157.txt.utf8
252,4163,samuel pepys,diary of samuel pepys  volume 41 januaryfebruary 166566,raw/4163/pg4163.txt.utf8
253,4170,samuel pepys,diary of samuel pepys  volume 48 december 1666,raw/4170/pg4170.txt.utf8
254,4178,samuel pepys,diary of samuel pepys  volume 55 july 1667,raw/4178/pg4178.txt.utf8
255,4179,samuel pepys,diary of samuel pepys  volume 56 august 1667,raw/4179/pg4179.txt.utf8
256,4190,samuel pepys,diary of samuel pepys  volume 66 junejuly 1668,raw/4190/pg4190.txt.utf8
257,4192,samuel pepys,diary of samuel pepys  volume 68 septemberoctober 1668,raw/4192/pg4192.txt.utf8
258,4197,samuel pepys,diary of samuel pepys  volume 72 februarymarch 166869,raw/4197/pg4197.txt.utf8
259,3331,samuel pepys,the diary of samuel pepys,raw/3331/pg3331.txt.utf8
260,4200,samuel pepys,the diary of samuel pepys  complete,raw/4200/pg4200.txt.utf8
261,2365,madame mariemadeleine pioche de la vergne de la fayette,the princess de montpensier,raw/2365/pg2365.txt.utf8
262,15491,robert hooke,micrographia  some physiological descriptions of minute bodies made by magnifying glasses with observations and inquiries thereupon,raw/15491/pg15491.txt.utf8
263,1992,robert naunton,travels in england during the reign of queen elizabeth and fragmenta regalia or observations on queen elizabeth her times and favourites,raw/1992/pg1992.txt.utf8
264,4011,benjamin f johnson,epicoene or the silent woman,raw/4011/pg4011.txt.utf8
265,5232,benjamin jonson,sejanus his fall,raw/5232/pg5232.txt.utf8
266,21967,jean racine,athaliah  a tragedy intended for reading only translated into  english blank verse from racine a gomberts edition  1825,raw/21967/pg21967.txt.utf8
267,21339,anne behn,the works of aphra behn volume i,raw/21339/pg21339.txt.utf8
268,10039,aphra amis behn,the works of aphra behn volume iii,raw/10039/pg10039.txt.utf8
269,10800,robert burton,the anatomy of melancholy,raw/10800/pg10800.txt.utf8
270,8409,aphra johnson,loveletters between a nobleman and his sister,raw/8409/pg8409.txt.utf8
271,3854,franoiseathnas de rochechouart de mortemart de montespan,memoirs of madame la marquise de montespan  complete,raw/3854/pg3854.txt.utf8
272,3847,francoiseathenais de rochechouart de mortemart montespan,memoirs of madame la marquise de montespan  volume 1,raw/3847/pg3847.txt.utf8
273,3852,franoiseathnas de rochechouart de mortemart montespan,memoirs of madame la marquise de montespan  volume 6,raw/3852/pg3852.txt.utf8
274,33504,isaac newton,opticks  or a treatise of the reflections refractions inflections and colours of light,raw/33504/pg33504.txt.utf8
275,14015,matthew hopkins,the discovery of witches,raw/14015/pg14015.txt.utf8
276,30083,jeanne marie bouvier de la motte guyon,letters of madam guyon,raw/30083/pg30083.txt.utf8
277,25133,jeanne marie bouvier de la motte guyon,spiritual torrents,raw/25133/pg25133.txt.utf8
278,37517,e elkanah settle,the notorious impostor and diego redivivus,raw/37517/pg37517.txt.utf8
